Year,Match Number,City,Date,Winner,Team 1,Team 2,Total Score for Team 1,Total Wicket for Team 1,Total Score for Team 2,Total Wicket for Team 2,Batting team,Bowling team,Over Number,Runs Scored in over,Runs Scored till that over,Wicket Taken in over,Wickets Taken till that over,Winning Details,Match Detail
2023,1st Match (D/N), Ahmedabad,October 05 2023,New Zealand ,ENG,NZ,282,9,283,1,ENG,NZ,1,12,12,0,0,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
2023,1st Match (D/N), Ahmedabad,October 05 2023,New Zealand ,ENG,NZ,282,9,283,1,ENG,NZ,2,0,12,0,0,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
2023,1st Match (D/N), Ahmedabad,October 05 2023,New Zealand ,ENG,NZ,282,9,283,1,ENG,NZ,3,4,16,0,0,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
2023,1st Match (D/N), Ahmedabad,October 05 2023,New Zealand ,ENG,NZ,282,9,283,1,ENG,NZ,4,5,21,0,0,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
2023,1st Match (D/N), Ahmedabad,October 05 2023,New Zealand ,ENG,NZ,282,9,283,1,ENG,NZ,5,5,26,0,0,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
2023,1st Match (D/N), Ahmedabad,October 05 2023,New Zealand ,ENG,NZ,282,9,283,1,ENG,NZ,6,9,35,0,0,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
2023,1st Match (D/N), Ahmedabad,October 05 2023,New Zealand ,ENG,NZ,282,9,283,1,ENG,NZ,7,4,39,0,0,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
2023,1st Match (D/N), Ahmedabad,October 05 2023,New Zealand ,ENG,NZ,282,9,283,1,ENG,NZ,8,2,41,1,1,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
2023,1st Match (D/N), Ahmedabad,October 05 2023,New Zealand ,ENG,NZ,282,9,283,1,ENG,NZ,9,5,46,0,1,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
2023,1st Match (D/N), Ahmedabad,October 05 2023,New Zealand ,ENG,NZ,282,9,283,1,ENG,NZ,10,5,51,0,1,New Zealand won by 9 wickets (with 82 balls remaining),"1st Match (D/N), Ahmedabad, October 05, 2023,
ICC Cricket World Cup"
